2017-02-07 21:07:29 startup archives install
2017-02-07 21:07:29 install base-passwd:armhf <none> 3.5.43
2017-02-07 21:07:29 status half-installed base-passwd:armhf 3.5.43
2017-02-07 21:07:31 status unpacked base-passwd:armhf 3.5.43
2017-02-07 21:07:31 status unpacked base-passwd:armhf 3.5.43
2017-02-07 21:07:31 configure base-passwd:armhf 3.5.43 3.5.43
2017-02-07 21:07:31 status unpacked base-passwd:armhf 3.5.43
2017-02-07 21:07:31 status half-configured base-passwd:armhf 3.5.43
2017-02-07 21:07:32 status installed base-passwd:armhf 3.5.43
2017-02-07 21:07:32 startup archives install
2017-02-07 21:07:32 install base-files:armhf <none> 9.8
2017-02-07 21:07:32 status half-installed base-files:armhf 9.8
2017-02-07 21:07:32 status unpacked base-files:armhf 9.8
2017-02-07 21:07:32 status unpacked base-files:armhf 9.8
2017-02-07 21:07:32 configure base-files:armhf 9.8 9.8
2017-02-07 21:07:32 status unpacked base-files:armhf 9.8
2017-02-07 21:07:32 status unpacked base-files:armhf 9.8
2017-02-07 21:07:32 status unpacked base-files:armhf 9.8
2017-02-07 21:07:32 status unpacked base-files:armhf 9.8
2017-02-07 21:07:32 status unpacked base-files:armhf 9.8
2017-02-07 21:07:32 status unpacked base-files:armhf 9.8
2017-02-07 21:07:32 status half-configured base-files:armhf 9.8
2017-02-07 21:07:33 status installed base-files:armhf 9.8
2017-02-07 21:07:33 startup archives install
2017-02-07 21:07:33 upgrade dpkg 1.18.22 1.18.22
2017-02-07 21:07:33 status half-configured dpkg 1.18.22
2017-02-07 21:07:34 status unpacked dpkg 1.18.22
2017-02-07 21:07:35 status half-installed dpkg 1.18.22
2017-02-07 21:07:37 status half-installed dpkg 1.18.22
2017-02-07 21:07:37 status unpacked dpkg:armhf 1.18.22
2017-02-07 21:07:37 status unpacked dpkg:armhf 1.18.22
2017-02-07 21:07:37 configure dpkg:armhf 1.18.22 1.18.22
2017-02-07 21:07:37 status unpacked dpkg:armhf 1.18.22
